timestamp,log_type,src_ip,dst_ip,username,message
2025-06-28 02:51:43,network,204.0.36.66,125.63.140.50,zwilliams,Connection from 204.0.36.66 to 125.63.140.50 on port 300
2025-06-28 04:35:07,auth_success,133.87.134.44,208.120.169.142,aherring,Successful login for user aherring from 133.87.134.44
2025-06-27 10:31:37,malware_alert,128.234.38.30,194.100.33.148,davidbanks,Malware detected: Spyware on host 194.100.33.148
2025-06-27 18:44:02,malware_alert,139.169.130.230,123.44.111.11,johnsonrobin,Malware detected: Worm on host 123.44.111.11
2025-06-27 17:45:41,network,20.68.251.45,206.198.195.187,wigginsjoshua,Connection from 20.68.251.45 to 206.198.195.187 on port 440
2025-06-27 13:59:22,system,77.42.198.63,218.18.33.123,sheena09,System started: visualize rich experiences
2025-06-28 07:05:56,auth_success,187.235.26.182,220.4.190.21,alan24,Successful login for user alan24 from 187.235.26.182
2025-06-27 09:42:22,system,151.128.58.155,209.36.43.233,nelsonedward,System started: benchmark distributed relationships
2025-06-27 12:38:08,system,172.161.48.38,143.87.88.47,parkermelody,System started: drive intuitive content
2025-06-28 02:52:24,auth_failure,164.201.160.174,158.203.134.224,zrogers,Failed login attempt for user zrogers from 164.201.160.174
2025-06-27 17:13:34,malware_alert,135.108.173.20,209.53.219.122,matthew22,Malware detected: Worm on host 209.53.219.122
2025-06-27 15:01:33,malware_alert,204.178.4.11,22.86.88.146,brucesmith,Malware detected: Spyware on host 22.86.88.146
2025-06-28 04:17:48,auth_success,185.70.54.72,168.111.59.219,omiller,Successful login for user omiller from 185.70.54.72
2025-06-28 01:07:40,auth_success,181.84.161.233,135.92.92.249,shortmelissa,Successful login for user shortmelissa from 181.84.161.233
2025-06-27 18:59:56,malware_alert,7.156.230.164,223.232.35.253,pscott,Malware detected: Trojan on host 223.232.35.253
2025-06-28 00:54:06,malware_alert,11.110.137.180,214.85.197.68,igray,Malware detected: Ransomware on host 214.85.197.68
2025-06-27 14:07:20,network,95.57.198.210,59.22.88.133,ushelton,Connection from 95.57.198.210 to 59.22.88.133 on port 394
2025-06-27 17:03:32,system,172.44.237.108,205.192.12.28,petersonsydney,System started: productize turn-key vortals
2025-06-27 20:44:13,network,48.112.192.214,195.132.25.234,jennifer71,Connection from 48.112.192.214 to 195.132.25.234 on port 238
2025-06-27 09:27:18,system,34.133.201.253,66.153.183.19,alexis75,System started: cultivate granular eyeballs
2025-06-27 15:09:22,system,219.225.222.100,209.19.102.20,gregorylinda,System started: engineer intuitive e-commerce
2025-06-28 06:16:53,malware_alert,110.175.121.173,166.55.148.3,melissayates,Malware detected: Adware on host 166.55.148.3
2025-06-27 09:53:05,system,196.186.86.15,184.36.136.11,cameron44,System started: revolutionize transparent architectures
2025-06-28 06:18:37,network,136.38.6.52,109.88.42.59,mcmahontimothy,Connection from 136.38.6.52 to 109.88.42.59 on port 314
2025-06-27 11:32:55,auth_failure,124.83.148.25,202.180.158.130,djohnson,Failed login attempt for user djohnson from 124.83.148.25
2025-06-27 20:40:01,system,134.126.168.27,160.82.218.173,georgedavid,System started: harness sticky schemas
2025-06-28 05:14:11,system,220.68.237.151,131.217.172.203,vmendez,System started: visualize 24/7 methodologies
2025-06-27 13:55:31,system,205.4.81.201,161.241.224.238,benjaminmyers,System started: disintermediate dynamic bandwidth
2025-06-27 14:51:27,system,161.52.151.71,4.81.225.99,bscott,System started: mesh killer e-services
2025-06-28 03:00:21,auth_failure,29.113.140.222,211.161.87.50,ronaldknight,Failed login attempt for user ronaldknight from 29.113.140.222
2025-06-27 10:53:10,auth_success,3.169.157.216,73.254.121.202,moodyryan,Successful login for user moodyryan from 3.169.157.216
2025-06-27 15:13:51,system,148.196.151.255,219.71.180.108,martinezheather,System started: seize cross-media ROI
2025-06-27 19:56:40,auth_failure,23.96.51.249,137.43.174.158,aaronhopkins,Failed login attempt for user aaronhopkins from 23.96.51.249
2025-06-27 09:24:47,malware_alert,199.63.18.131,219.207.234.7,cantujesse,Malware detected: Spyware on host 219.207.234.7
2025-06-27 08:37:28,malware_alert,71.49.106.40,144.134.168.87,anthonyclark,Malware detected: Trojan on host 144.134.168.87
2025-06-27 21:26:12,network,146.186.123.132,169.234.118.167,brittanymiller,Connection from 146.186.123.132 to 169.234.118.167 on port 203
2025-06-28 00:18:39,malware_alert,205.64.80.63,170.128.61.221,lesliesanchez,Malware detected: Worm on host 170.128.61.221
2025-06-27 14:35:48,system,110.183.112.223,212.59.66.101,longjacqueline,System started: enable next-generation content
2025-06-27 13:05:14,auth_success,212.141.150.19,219.88.150.216,wrightcynthia,Successful login for user wrightcynthia from 212.141.150.19
2025-06-27 16:19:05,system,199.29.159.114,154.179.210.122,scott54,System started: syndicate e-business ROI
2025-06-27 23:17:41,network,106.118.73.166,220.194.199.203,katrinareynolds,Connection from 106.118.73.166 to 220.194.199.203 on port 261
2025-06-27 22:06:54,malware_alert,14.185.29.74,222.204.69.57,webbjames,Malware detected: Adware on host 222.204.69.57
2025-06-27 18:31:48,auth_success,30.94.238.150,214.255.222.214,danny48,Successful login for user danny48 from 30.94.238.150
2025-06-28 07:08:02,auth_success,223.21.254.177,46.223.7.230,bramirez,Successful login for user bramirez from 223.21.254.177
2025-06-28 03:36:05,system,104.166.20.190,110.86.250.126,qgarcia,System started: seize front-end methodologies
2025-06-27 10:04:11,auth_success,34.68.212.33,25.199.129.229,david32,Successful login for user david32 from 34.68.212.33
2025-06-28 03:00:32,auth_success,116.162.148.6,182.186.153.166,jenkinscynthia,Successful login for user jenkinscynthia from 116.162.148.6
2025-06-27 15:56:01,auth_failure,184.234.105.42,136.209.236.147,davidmartinez,Failed login attempt for user davidmartinez from 184.234.105.42
2025-06-28 05:24:18,auth_success,180.119.14.30,201.106.142.36,nnewton,Successful login for user nnewton from 180.119.14.30
2025-06-28 04:40:55,malware_alert,148.94.12.12,177.237.86.235,vevans,Malware detected: Worm on host 177.237.86.235
2025-06-27 18:29:18,auth_failure,141.206.65.218,103.144.89.103,mathistiffany,Failed login attempt for user mathistiffany from 141.206.65.218
2025-06-28 06:53:12,system,192.242.147.36,102.118.240.147,keymorgan,System started: scale distributed e-services
2025-06-28 04:50:19,network,50.109.89.62,93.127.77.77,patrick56,Connection from 50.109.89.62 to 93.127.77.77 on port 101
2025-06-27 15:54:27,network,197.189.183.125,121.46.20.219,david27,Connection from 197.189.183.125 to 121.46.20.219 on port 213
2025-06-28 03:52:35,auth_failure,166.56.213.33,166.59.138.137,lauragonzales,Failed login attempt for user lauragonzales from 166.56.213.33
2025-06-27 21:50:12,malware_alert,35.47.208.19,133.107.5.112,michaelpaul,Malware detected: Spyware on host 133.107.5.112
2025-06-27 08:53:38,network,217.133.87.181,217.26.0.87,robert08,Connection from 217.133.87.181 to 217.26.0.87 on port 52
2025-06-27 16:37:44,network,199.220.120.49,216.38.238.28,rlewis,Connection from 199.220.120.49 to 216.38.238.28 on port 290
2025-06-28 00:55:53,malware_alert,74.108.66.8,128.116.209.164,brycepatterson,Malware detected: Adware on host 128.116.209.164
2025-06-27 07:11:36,system,15.44.15.201,197.208.151.211,matthewgarcia,System started: matrix strategic vortals
2025-06-27 19:03:29,auth_success,186.103.147.70,130.214.171.251,miguelclark,Successful login for user miguelclark from 186.103.147.70
2025-06-27 09:00:21,auth_failure,214.115.175.30,185.164.108.170,zachary64,Failed login attempt for user zachary64 from 214.115.175.30
2025-06-28 03:09:48,system,143.91.137.153,105.40.75.157,murrayjenny,System started: streamline transparent models
2025-06-27 07:43:37,auth_failure,133.122.186.116,73.215.201.215,nhenson,Failed login attempt for user nhenson from 133.122.186.116
2025-06-27 18:42:08,system,189.169.116.211,195.147.240.54,haleyjohn,System started: enhance end-to-end niches
2025-06-27 07:42:40,system,155.212.122.158,50.69.186.17,jenniferwaters,System started: deliver plug-and-play users
2025-06-28 05:28:31,system,215.106.206.107,70.84.99.225,jessicawright,System started: envisioneer clicks-and-mortar users
2025-06-27 11:31:11,malware_alert,209.151.184.2,116.92.25.10,maddoxannette,Malware detected: Worm on host 116.92.25.10
2025-06-27 18:12:05,auth_success,50.15.6.147,47.94.99.194,holmesemily,Successful login for user holmesemily from 50.15.6.147
2025-06-27 10:50:17,auth_failure,101.245.229.232,180.100.169.176,tranmark,Failed login attempt for user tranmark from 101.245.229.232
2025-06-28 06:02:32,system,200.132.240.72,139.80.29.175,taylorjamie,System started: redefine rich networks
2025-06-27 17:11:34,auth_failure,198.188.61.169,215.122.98.143,lgomez,Failed login attempt for user lgomez from 198.188.61.169
2025-06-27 16:31:45,network,38.233.179.24,193.183.156.69,abryant,Connection from 38.233.179.24 to 193.183.156.69 on port 438
2025-06-28 06:53:06,auth_success,42.111.51.186,197.236.117.1,janet14,Successful login for user janet14 from 42.111.51.186
2025-06-27 12:48:49,auth_success,44.58.111.133,166.37.61.254,clarkleslie,Successful login for user clarkleslie from 44.58.111.133
2025-06-27 08:43:51,system,199.175.179.95,183.58.182.170,max24,System started: utilize synergistic networks
2025-06-27 16:38:42,malware_alert,212.214.195.96,131.236.183.135,allenalexander,Malware detected: Ransomware on host 131.236.183.135
2025-06-27 20:32:56,malware_alert,209.255.58.99,173.216.101.245,patriciarobinson,Malware detected: Trojan on host 173.216.101.245
2025-06-28 05:18:45,auth_failure,147.247.4.212,58.39.1.86,qsmith,Failed login attempt for user qsmith from 147.247.4.212
2025-06-28 06:29:51,auth_failure,207.179.129.193,39.216.154.165,kfinley,Failed login attempt for user kfinley from 207.179.129.193
2025-06-28 02:46:34,network,126.75.220.169,97.105.2.64,sonyafrye,Connection from 126.75.220.169 to 97.105.2.64 on port 212
2025-06-28 04:34:02,auth_success,42.197.171.65,211.81.43.140,nmckinney,Successful login for user nmckinney from 42.197.171.65
2025-06-27 12:13:54,network,218.227.84.158,203.134.250.251,crawfordmichael,Connection from 218.227.84.158 to 203.134.250.251 on port 190
2025-06-27 19:28:45,auth_success,215.142.128.35,220.243.101.61,joseph76,Successful login for user joseph76 from 215.142.128.35
2025-06-27 19:30:22,malware_alert,108.156.148.170,209.30.34.1,sarah07,Malware detected: Trojan on host 209.30.34.1
2025-06-27 08:41:27,auth_success,188.235.193.138,129.82.226.5,jody04,Successful login for user jody04 from 188.235.193.138
2025-06-27 12:37:51,malware_alert,201.40.187.117,195.92.114.117,qgood,Malware detected: Ransomware on host 195.92.114.117
2025-06-27 20:19:51,auth_failure,85.21.150.196,54.157.96.240,sabrinalam,Failed login attempt for user sabrinalam from 85.21.150.196
2025-06-27 11:54:39,auth_success,160.37.61.200,193.79.245.23,michael45,Successful login for user michael45 from 160.37.61.200
2025-06-28 00:35:47,network,166.229.102.39,73.2.48.240,ramosmatthew,Connection from 166.229.102.39 to 73.2.48.240 on port 177
2025-06-27 13:43:45,malware_alert,15.215.226.134,193.131.228.0,chadboyle,Malware detected: Trojan on host 193.131.228.0
2025-06-27 18:12:38,auth_failure,174.178.1.107,213.9.111.121,davidcrystal,Failed login attempt for user davidcrystal from 174.178.1.107
2025-06-27 18:05:07,auth_failure,207.122.35.64,128.223.101.212,tosborne,Failed login attempt for user tosborne from 207.122.35.64
2025-06-27 10:48:35,malware_alert,175.69.143.120,155.160.233.236,meganbrady,Malware detected: Spyware on host 155.160.233.236
2025-06-28 00:26:55,auth_success,28.74.233.139,130.83.223.86,zfields,Successful login for user zfields from 28.74.233.139
2025-06-27 11:43:02,auth_failure,6.229.212.223,198.168.148.139,crystalburton,Failed login attempt for user crystalburton from 6.229.212.223
2025-06-28 01:18:46,auth_failure,143.242.205.62,197.25.15.92,sierrahouse,Failed login attempt for user sierrahouse from 143.242.205.62
2025-06-27 18:10:58,auth_success,47.38.164.141,202.51.106.118,frankmclean,Successful login for user frankmclean from 47.38.164.141
2025-06-27 13:15:17,malware_alert,184.179.4.137,150.203.96.115,christopher07,Malware detected: Spyware on host 150.203.96.115
2025-06-28 06:27:06,system,22.125.60.171,152.233.170.186,aguilarmichael,System started: maximize end-to-end networks
2025-06-27 10:16:24,network,208.199.19.122,136.169.105.8,millermichelle,Connection from 208.199.19.122 to 136.169.105.8 on port 51
2025-06-27 21:12:05,system,140.53.161.143,223.19.69.5,edwardsmaureen,System started: utilize turn-key interfaces
2025-06-27 21:31:44,malware_alert,9.25.175.65,180.184.59.236,gdelacruz,Malware detected: Adware on host 180.184.59.236
2025-06-27 17:44:34,auth_failure,72.146.188.213,177.126.173.219,colonhayley,Failed login attempt for user colonhayley from 72.146.188.213
2025-06-28 04:29:09,network,200.184.139.244,161.83.37.28,castrolisa,Connection from 200.184.139.244 to 161.83.37.28 on port 62
2025-06-27 20:36:04,network,26.126.120.43,202.132.187.210,jlutz,Connection from 26.126.120.43 to 202.132.187.210 on port 319
2025-06-27 13:15:21,auth_failure,177.60.56.118,204.69.54.173,lisa13,Failed login attempt for user lisa13 from 177.60.56.118
2025-06-27 20:14:38,system,194.244.115.90,186.173.100.31,thomaspeters,System started: incubate strategic deliverables
2025-06-27 08:11:47,malware_alert,133.30.130.43,117.163.26.106,yrogers,Malware detected: Spyware on host 117.163.26.106
2025-06-27 14:32:02,system,211.205.151.176,104.93.21.107,jessicasmith,System started: matrix dynamic paradigms
2025-06-27 21:40:47,auth_success,185.245.204.207,168.86.25.63,samantha16,Successful login for user samantha16 from 185.245.204.207
2025-06-28 06:31:43,system,116.23.223.79,222.132.51.167,dwhite,System started: exploit back-end solutions
2025-06-28 05:53:19,network,134.41.221.101,65.93.150.96,richardvaughn,Connection from 134.41.221.101 to 65.93.150.96 on port 121
2025-06-27 23:52:51,auth_failure,99.247.223.67,131.79.113.170,qgibbs,Failed login attempt for user qgibbs from 99.247.223.67
2025-06-28 03:05:03,network,38.32.62.146,96.201.178.251,jdonaldson,Connection from 38.32.62.146 to 96.201.178.251 on port 325
2025-06-28 00:57:17,network,201.37.248.162,85.156.186.241,sheryldominguez,Connection from 201.37.248.162 to 85.156.186.241 on port 227
2025-06-28 06:25:58,auth_failure,74.44.166.111,201.80.38.35,webbpamela,Failed login attempt for user webbpamela from 74.44.166.111
2025-06-28 01:13:40,auth_success,215.62.224.218,53.7.70.160,tammybell,Successful login for user tammybell from 215.62.224.218
2025-06-28 01:20:45,network,30.208.17.35,170.141.79.81,acunningham,Connection from 30.208.17.35 to 170.141.79.81 on port 332
2025-06-27 15:09:22,system,2.5.197.188,213.128.183.14,andrewholloway,System started: deliver clicks-and-mortar paradigms
2025-06-27 18:46:41,auth_success,19.148.180.94,205.57.167.205,afrench,Successful login for user afrench from 19.148.180.94
2025-06-28 02:18:33,network,186.167.78.231,212.105.28.54,william86,Connection from 186.167.78.231 to 212.105.28.54 on port 328
2025-06-27 12:52:01,auth_failure,86.112.29.8,118.250.0.49,thomaswalker,Failed login attempt for user thomaswalker from 86.112.29.8
2025-06-27 17:54:32,auth_failure,158.203.179.241,168.35.86.73,whitney85,Failed login attempt for user whitney85 from 158.203.179.241
2025-06-27 10:16:21,malware_alert,223.47.132.247,109.37.38.212,gmaynard,Malware detected: Trojan on host 109.37.38.212
2025-06-27 09:36:24,network,196.49.227.11,33.183.5.94,zsimon,Connection from 196.49.227.11 to 33.183.5.94 on port 40
2025-06-27 18:07:47,system,169.117.239.138,213.109.111.104,thomas29,System started: redefine front-end mindshare
2025-06-27 19:13:38,network,3.97.181.253,62.64.92.155,gonzalezsusan,Connection from 3.97.181.253 to 62.64.92.155 on port 355
2025-06-27 23:57:56,auth_success,52.199.105.171,130.167.82.103,andrea06,Successful login for user andrea06 from 52.199.105.171
2025-06-27 21:06:26,malware_alert,141.82.188.111,135.15.35.77,gabriel69,Malware detected: Adware on host 135.15.35.77
2025-06-27 08:24:53,malware_alert,132.251.21.198,180.108.245.179,ericmartin,Malware detected: Trojan on host 180.108.245.179
2025-06-28 02:03:02,malware_alert,63.142.0.107,171.38.243.210,gabrielle64,Malware detected: Trojan on host 171.38.243.210
2025-06-27 22:42:51,network,98.167.129.110,202.192.149.73,jimmy65,Connection from 98.167.129.110 to 202.192.149.73 on port 294
2025-06-28 04:59:08,auth_failure,175.57.129.158,172.76.129.218,dylansilva,Failed login attempt for user dylansilva from 175.57.129.158
2025-06-27 21:20:17,malware_alert,202.54.176.80,194.209.214.148,adamsjessica,Malware detected: Adware on host 194.209.214.148
2025-06-27 15:41:41,system,101.18.113.90,87.45.188.124,rflores,System started: grow out-of-the-box applications
2025-06-27 13:48:58,auth_success,223.145.170.109,2.79.205.185,anthonyday,Successful login for user anthonyday from 223.145.170.109
2025-06-28 03:57:12,auth_success,29.21.184.81,201.192.179.174,lbaker,Successful login for user lbaker from 29.21.184.81
2025-06-27 09:34:48,auth_failure,5.94.228.224,188.0.100.226,schneiderrichard,Failed login attempt for user schneiderrichard from 5.94.228.224
2025-06-27 18:12:56,auth_failure,61.39.81.128,124.104.63.200,marissa78,Failed login attempt for user marissa78 from 61.39.81.128
2025-06-27 21:09:36,system,216.125.101.1,87.81.14.8,kevinlynch,System started: redefine B2B bandwidth
2025-06-28 06:31:42,network,15.211.44.85,189.30.147.106,bakerjerry,Connection from 15.211.44.85 to 189.30.147.106 on port 166
2025-06-27 19:21:08,system,109.192.92.31,67.161.28.169,brendagonzalez,System started: integrate wireless schemas
2025-06-28 00:42:55,auth_failure,195.246.29.21,202.242.40.20,nancy51,Failed login attempt for user nancy51 from 195.246.29.21
2025-06-28 01:05:52,malware_alert,215.64.184.22,164.251.226.170,jeffrey75,Malware detected: Trojan on host 164.251.226.170
2025-06-27 12:42:07,auth_success,196.93.221.176,110.193.182.129,joannestuart,Successful login for user joannestuart from 196.93.221.176
2025-06-27 08:28:18,malware_alert,76.193.133.132,195.111.201.187,patrick21,Malware detected: Spyware on host 195.111.201.187
2025-06-27 21:16:10,auth_failure,158.36.89.196,55.238.155.112,ryan56,Failed login attempt for user ryan56 from 158.36.89.196
2025-06-27 10:53:08,auth_failure,198.35.94.134,170.123.133.200,pmoore,Failed login attempt for user pmoore from 198.35.94.134
2025-06-27 07:55:38,system,218.209.173.231,152.145.237.3,dmarshall,System started: re-contextualize magnetic methodologies
2025-06-28 05:40:10,network,191.146.221.223,104.6.184.253,ruizphillip,Connection from 191.146.221.223 to 104.6.184.253 on port 73
2025-06-28 03:11:04,auth_success,29.205.161.13,34.150.128.200,mdavis,Successful login for user mdavis from 29.205.161.13
2025-06-27 21:09:01,auth_failure,211.158.149.29,27.167.39.127,hallbradley,Failed login attempt for user hallbradley from 211.158.149.29
2025-06-27 09:22:52,malware_alert,180.38.36.151,22.97.52.166,figueroajames,Malware detected: Spyware on host 22.97.52.166
2025-06-28 05:33:28,auth_success,58.146.179.131,46.254.201.87,sarahreyes,Successful login for user sarahreyes from 58.146.179.131
2025-06-28 05:50:18,auth_success,118.25.148.1,49.60.128.76,aguilarjane,Successful login for user aguilarjane from 118.25.148.1
2025-06-27 21:18:16,auth_success,180.76.212.32,206.3.132.222,espinozajoshua,Successful login for user espinozajoshua from 180.76.212.32
2025-06-28 02:05:14,network,212.89.83.253,148.115.75.1,robertmason,Connection from 212.89.83.253 to 148.115.75.1 on port 420
2025-06-27 21:27:50,auth_failure,223.48.3.85,60.166.246.8,jwhite,Failed login attempt for user jwhite from 223.48.3.85
2025-06-27 14:07:33,auth_failure,144.72.167.93,149.122.92.99,shawnbell,Failed login attempt for user shawnbell from 144.72.167.93
2025-06-28 06:12:06,system,128.98.105.118,222.70.71.185,rubenking,System started: syndicate B2B e-services
2025-06-27 08:38:47,auth_failure,159.29.169.100,196.152.97.50,lopezsarah,Failed login attempt for user lopezsarah from 159.29.169.100
2025-06-27 08:09:40,malware_alert,200.60.105.177,98.172.239.16,katiemcdonald,Malware detected: Adware on host 98.172.239.16
2025-06-28 04:00:33,network,223.224.12.74,67.4.59.192,pam83,Connection from 223.224.12.74 to 67.4.59.192 on port 67
2025-06-28 06:02:05,malware_alert,221.227.171.117,63.148.151.147,carlyjohnson,Malware detected: Adware on host 63.148.151.147
2025-06-27 22:29:11,malware_alert,171.69.79.220,203.128.33.182,brownjohn,Malware detected: Ransomware on host 203.128.33.182
2025-06-27 11:19:16,network,204.223.87.206,217.42.32.125,trevor32,Connection from 204.223.87.206 to 217.42.32.125 on port 309
2025-06-27 22:33:26,system,187.104.185.235,222.11.117.152,meghan71,System started: orchestrate magnetic initiatives
2025-06-27 22:19:25,system,15.39.6.213,182.184.123.210,janet06,System started: architect e-business e-markets
2025-06-27 22:18:23,network,207.74.139.161,208.33.235.187,alyssaknox,Connection from 207.74.139.161 to 208.33.235.187 on port 425
2025-06-27 23:27:19,auth_failure,132.58.21.254,63.137.0.129,harrischristina,Failed login attempt for user harrischristina from 132.58.21.254
2025-06-27 08:17:16,auth_failure,129.124.174.74,33.200.237.229,eric41,Failed login attempt for user eric41 from 129.124.174.74
2025-06-27 16:23:13,system,215.6.96.171,149.190.215.28,madisonbaker,System started: evolve revolutionary eyeballs
2025-06-27 09:45:05,system,191.133.114.129,15.213.228.248,uflores,System started: cultivate proactive initiatives
2025-06-27 08:15:37,auth_success,180.70.72.206,19.206.19.195,owright,Successful login for user owright from 180.70.72.206
2025-06-27 13:40:05,system,135.99.50.142,140.33.123.155,morganandrea,System started: leverage rich web-readiness
2025-06-27 20:30:33,system,192.234.113.63,96.203.105.177,wmoses,System started: optimize dot-com networks
2025-06-27 12:24:28,network,40.53.112.91,142.76.12.105,colin32,Connection from 40.53.112.91 to 142.76.12.105 on port 124
2025-06-28 07:11:05,system,200.235.173.111,156.24.81.191,eric58,System started: iterate 24/365 e-tailers
2025-06-27 17:52:05,auth_success,162.14.48.164,176.3.189.126,kellermark,Successful login for user kellermark from 162.14.48.164
2025-06-28 05:12:45,network,195.75.6.207,64.231.88.46,linda24,Connection from 195.75.6.207 to 64.231.88.46 on port 115
2025-06-27 23:43:19,system,54.42.128.224,154.47.239.223,millertiffany,System started: harness virtual technologies
2025-06-27 19:43:54,auth_success,50.89.210.126,64.134.177.22,charles55,Successful login for user charles55 from 50.89.210.126
2025-06-27 08:12:28,network,201.38.85.51,23.246.70.22,jordanbrown,Connection from 201.38.85.51 to 23.246.70.22 on port 191
2025-06-28 00:25:32,auth_success,142.109.155.92,175.245.62.255,berickson,Successful login for user berickson from 142.109.155.92
2025-06-28 03:19:56,auth_success,131.72.61.161,62.140.104.159,fjohnson,Successful login for user fjohnson from 131.72.61.161
2025-06-28 04:46:55,system,139.176.4.188,12.31.30.18,alicia18,System started: incentivize rich technologies
2025-06-28 02:36:18,malware_alert,158.32.76.31,196.59.193.109,jennadickerson,Malware detected: Ransomware on host 196.59.193.109
2025-06-27 12:53:07,auth_failure,137.172.114.174,20.166.71.250,andreawright,Failed login attempt for user andreawright from 137.172.114.174
2025-06-27 11:45:01,network,90.182.49.147,199.124.152.38,nicoleperkins,Connection from 90.182.49.147 to 199.124.152.38 on port 280
2025-06-27 16:01:56,network,51.41.39.128,203.122.254.13,bryanjackson,Connection from 51.41.39.128 to 203.122.254.13 on port 169
2025-06-27 20:45:06,auth_failure,220.80.88.103,204.211.4.120,melissapatel,Failed login attempt for user melissapatel from 220.80.88.103
2025-06-27 12:00:19,malware_alert,79.141.205.87,216.211.66.81,qdudley,Malware detected: Trojan on host 216.211.66.81
2025-06-27 21:31:43,system,132.231.151.40,45.110.243.108,gillbrian,System started: exploit innovative systems
2025-06-27 11:59:51,auth_failure,121.19.110.246,201.40.24.38,georgemichael,Failed login attempt for user georgemichael from 121.19.110.246
2025-06-28 03:14:38,auth_failure,147.7.214.119,201.3.151.163,andrewroman,Failed login attempt for user andrewroman from 147.7.214.119
2025-06-28 04:42:40,auth_failure,53.184.91.10,136.234.167.153,zcardenas,Failed login attempt for user zcardenas from 53.184.91.10
2025-06-28 06:22:55,auth_success,197.101.96.114,207.42.185.156,gdominguez,Successful login for user gdominguez from 197.101.96.114
2025-06-27 16:13:20,auth_failure,183.135.23.250,116.62.21.146,williammorton,Failed login attempt for user williammorton from 183.135.23.250
2025-06-28 06:23:05,malware_alert,195.231.70.200,147.78.64.216,hescobar,Malware detected: Trojan on host 147.78.64.216
2025-06-27 20:53:46,auth_failure,22.55.231.102,132.102.195.237,harrisdakota,Failed login attempt for user harrisdakota from 22.55.231.102
2025-06-27 22:22:53,auth_success,173.0.137.141,1.94.184.185,rebeccastanley,Successful login for user rebeccastanley from 173.0.137.141
2025-06-27 14:37:04,auth_success,194.9.58.24,198.66.28.89,lawsonsarah,Successful login for user lawsonsarah from 194.9.58.24
2025-06-28 00:20:07,system,174.241.205.235,165.207.252.150,christopher61,System started: scale proactive ROI
2025-06-27 11:08:43,auth_success,49.113.87.142,188.73.85.181,luisflynn,Successful login for user luisflynn from 49.113.87.142
2025-06-28 03:30:48,malware_alert,189.11.200.13,200.232.33.231,brownphyllis,Malware detected: Worm on host 200.232.33.231
2025-06-27 23:26:06,auth_failure,40.172.208.17,217.238.14.28,cynthia93,Failed login attempt for user cynthia93 from 40.172.208.17
2025-06-27 22:32:40,auth_failure,212.107.237.124,173.140.124.134,mrowland,Failed login attempt for user mrowland from 212.107.237.124
